,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_LATITUDE,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,EVACUATION_REPORTED,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FODJ_INCIDENT_ID,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_COMPLEX_NAME,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,FIRED_ID,FIRED_ACRES,FIRED_SIMPLE_FSR,FIRED_MAX_GROWTH,FIRED_IG_LON,FIRED_IG_LAT
3831,2002_NV-EIC-783_DRY CANYON,NV-EIC-783,DRY CANYON,WF,206,L,FALSE,7/23/02 15:29,204,7/24/02 16:00,0,,,,0,,,,,Elko,41.693611,-114.344722,25 miles SE of Jackpot  NV,NV,,2002,,0,0,0,0,0,0,,,7/25/02 18:24,,2,FALSE,,,,,1,116,1,7/24/02 17:30,205,87,7/24/02 17:30,205,7/24/02 17:30,205,206,7/24/02 17:30,205,1,"[nan, nan]",,,0,2002_NV-EIC-783_DRY CANYON,[341821],1,,204,206,['Natural'],206.3,"[{'ID': 341821, 'COORDS': (41.6944, -114.3453), 'CAUSE': 'Natural', 'SIZE': 206.3, 'DISC': 204, 'CONT': 206.0}]","[(41.6944, -114.3453)]",,1,1,0,341821,41.6944,-114.3453,,"(41.6944, -114.3453)",,,,,,
3842,2002_NV-HTF-024_LOST CABIN,NV-HTF-024,LOST CABIN,WF,4300,L,FALSE,7/14/02 14:14,195,7/20/02 8:00,0,,,,0,,,,,Clark,36.12833300000001,-115.648333,LOVELL CANYON OFF I-160,NV,897064,2002,,0,0,0,0,0,0,,,7/27/02 19:00,,13,FALSE,,673,13,460,,1446,,7/14/02 17:44,195,372,7/18/02 17:45,199,7/17/02 18:30,198,1870,7/17/02 13:00,198,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_NV-HTF-024_LOST CABIN,[153358],1,['NV3614911560420020714-LOST CABIN'],195,208,['Natural'],4340,"[{'ID': 153358, 'MTBS_ID': 'NV3614911560420020714(LOST CABIN)', 'COORDS': (36.12305556, -115.64277779999999), 'CAUSE': 'Natural', 'SIZE': 4340.0, 'DISC': 195, 'CONT': 208.0}]","[(36.12305556, -115.64277779999999)]",,1,1,1,153358,36.12305556,-115.6427778,NV3614911560420020714(LOST CABIN),"(36.12305556, -115.64277779999999)",8124,3925.199128,327.09992739999996,2439.9886469999997,-115.572586,36.15625
3843,2002_NV-HTF-1228_CANNON,NV-HTF-1228,CANNON,WF,22750,H,FALSE,6/15/02 12:00,166,6/28/02 18:00,3,,,,0,,,,,Mono,38.644166999999996,-119.497222,25 miles northwest of Bridgeport  California,NV,8700000,2002,,0,0,0,4,0,1,,,7/16/02 16:30,,33,TRUE,,162,12,150,105,13318,9,6/23/02 17:00,174,1471,6/20/02 18:00,171,6/19/02 18:00,170,11760,6/17/02 21:30,168,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_NV-HTF-1228_CANNON,[153288],1,['CA3848811946420020615-CANNON'],166,200,['Recreation and ceremony'],23020,"[{'ID': 153288, 'MTBS_ID': 'CA3848811946420020615(CANNON)', 'COORDS': (38.45611111, -119.54555559999999), 'CAUSE': 'Recreation and ceremony', 'SIZE': 23020.0, 'DISC': 166, 'CONT': 200.0}]","[(38.45611111, -119.54555559999999)]",,1,1,1,153288,38.45611111,-119.5455556,CA3848811946420020615(CANNON),"(38.45611111, -119.54555559999999)",7290,22808.58953,1629.184966,6259.101313,-119.4263322,38.47708333
3869,2002_OK-OKS-30447_POLECAT FIRE,OK-OKS-30447,POLECAT FIRE,WF,235,H,FALSE,11/21/02 9:12,325,11/22/02 4:00,0,,,,0,,,,,Sequoyah,35.563611,-94.62,12 Mi. North of Muldrow  Oklahoma.,OK,,2002,,0,0,0,0,0,0,,,11/23/02 18:00,,3,FALSE,,,,,,11,,11/21/02 19:45,325,5,11/21/02 19:45,325,11/22/02 17:00,326,150,11/21/02 19:45,325,1,"[nan, nan, nan]",,,0,2002_OK-OKS-30447_POLECAT FIRE,[1026158],1,,325,325,['Equipment and vehicle use'],176,"[{'ID': 1026158, 'COORDS': (35.5636, -94.62), 'CAUSE': 'Equipment and vehicle use', 'SIZE': 176.0, 'DISC': 325, 'CONT': 325.0}]","[(35.5636, -94.62)]",,1,1,0,1026158,35.5636,-94.62,,"(35.5636, -94.62)",10826,371.3026203,61.88377004,212.1729259,-94.4766056,35.35208333
3887,2002_OK-OSA-02041_SYCAMORE,OK-OSA-02041,SYCAMORE,WF,170,O,FALSE,11/7/02 16:00,311,11/8/02 18:00,0,,,,0,,,,,Osage,36.46,-96.606944,10 mi east of Ralston  OK,OK,2000,2002,,0,0,0,0,0,0,,,11/10/02 0:00,,2,FALSE,,7,,2,,34,,11/8/02 0:00,312,28,11/8/02 0:00,312,11/8/02 0:00,312,170,11/8/02 0:00,312,1,"[nan, nan]",,,0,2002_OK-OSA-02041_SYCAMORE,[254325],1,,311,311,['Equipment and vehicle use'],170,"[{'ID': 254325, 'COORDS': (36.4601, -96.6073), 'CAUSE': 'Equipment and vehicle use', 'SIZE': 170.0, 'DISC': 311, 'CONT': 311.0}]","[(36.4601, -96.6073)]",,1,1,0,254325,36.4601,-96.6073,,"(36.4601, -96.6073)",10500,212.1729259,19.28844781,106.0864629,-96.44848496,36.81875
3900,2002_OR-DEF-985_CACHE MOUNTAIN,OR-DEF-985,CACHE MOUNTAIN,WF,4200,L,FALSE,7/23/02 21:50,204,8/1/02 20:00,0,,,,0,,,,,Deschutes,44.385278,-121.764722,10  Miles NW of Sisters    Oregon,OR,3600000,2002,,0,0,0,2,0,2,,,11/21/02 13:05,,10,TRUE,,1316,15,1300,24,5158,4,7/26/02 18:00,207,1179,7/31/02 18:00,212,7/29/02 18:00,210,1600,7/28/02 18:00,209,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_OR-DEF-985_CACHE MOUNTAIN,[152016],1,['OR4438412172820020723-CACHE MOUNTAIN'],204,232,['Natural'],4358,"[{'ID': 152016, 'MTBS_ID': 'OR4438412172820020723(CACHE MOUNTAIN)', 'COORDS': (44.38777778, -121.7722222), 'CAUSE': 'Natural', 'SIZE': 4358.0, 'DISC': 204, 'CONT': 232.0}]","[(44.38777778, -121.7722222)]",,1,1,1,152016,44.38777778,-121.7722222,OR4438412172820020723(CACHE MOUNTAIN),"(44.38777778, -121.7722222)",8456,2917.377731,265.2161573,901.7349349,-121.6970588,44.38125
3958,2002_SD-SDS-025047_BOBCAT,SD-SDS-025047,BOBCAT,WF,200,H,FALSE,4/18/02 0:00,108,4/18/02,0,,,,0,,,,,,43.7,-103.3166667,"SOUTH OF RAPID CITY, SD",SD,,2002,,0,0,0,0,0,0,,,4/18/02 0:00,,1,,,,,,,,,4/18/02 0:00,108,,4/18/02 0:00,108,4/18/02 0:00,108,200,4/18/02 0:00,108,0,[nan],,,0,,,,,,,,,,,,,,,,,,,"(nan, nan)",,,,,,
3969,2002_TX-AHR-2819_S. RES CAMPBELL,TX-AHR-2819,S. RES CAMPBELL,WF,600,H,FALSE,12/19/02 14:15,353,,0,,,,0,H,TRUE,,,Chambers,29.596,-94.4606,50 MILES S.E. OF HOUSTON  TX,TX,,2002,,0,0,0,0,0,0,,,12/23/02 0:00,,3,FALSE,,,,,,12,,12/20/02 12:00,354,6,12/20/02 12:00,354,12/20/02 12:00,354,600,12/20/02 12:00,354,1,"[nan, nan, nan]",,,0,2002_TX-AHR-2819_S. RES CAMPBELL,[377594],1,['TX2960109445820021219-S RES CAMPBELL'],353,354,['Recreation and ceremony'],768.4,"[{'ID': 377594, 'MTBS_ID': 'TX2960109445820021219(S RES CAMPBELL)', 'COORDS': (29.596, -94.4606), 'CAUSE': 'Recreation and ceremony', 'SIZE': 768.4, 'DISC': 353, 'CONT': 354.0}]","[(29.596, -94.4606)]",,1,1,1,377594,29.596,-94.4606,TX2960109445820021219(S RES CAMPBELL),"(29.596, -94.4606)",10986,795.648472,72.33167927,530.4323146,-94.39432623,29.59791666
3976,2002_TX-TXS-02002_TORONTO CANYON,TX-TXS-02002,TORONTO CANYON,WF,300,O,FALSE,5/8/02 0:00,128,5/10/02,0,,,,0,,,,,,30.33333333333333,-103.7333333,"2 MILES WEST OF ALPINE, TX",TX,,2002,,0,0,0,0,0,0,,,5/9/02 0:00,,2,,,,,,2,42,1,5/8/02 0:00,128,42,5/9/02 0:00,129,5/9/02 0:00,129,200,5/8/02 0:00,128,1,"[nan, nan]",,,0,,,,,,,,,,,,,,,,,,,"(nan, nan)",,,,,,
3977,2002_TX-TXS-02003_CHALK CANYON,TX-TXS-02003,CHALK CANYON,WF,175,L,FALSE,5/30/02 14:00,150,6/4/02 18:00,0,,,,0,,,,,Brewster,30.176667,-103.492778,10 M SW OF MARATHON  TX,TX,,2002,,0,0,0,0,0,0,,,6/4/02 16:35,,3,FALSE,,,,,,17,,5/30/02 21:00,150,12,5/31/02 17:40,151,5/31/02 17:40,151,130,5/30/02 21:00,150,1,"[nan, nan, nan]",,,0,2002_TX-TXS-02003_CHALK CANYON,[15001363],1,,150,156,['Natural'],175,"[{'ID': 15001363, 'COORDS': (30.176667, -103.492778), 'CAUSE': 'Natural', 'SIZE': 175.0, 'DISC': 150, 'CONT': 156.0}]","[(30.176667, -103.492778)]",,1,1,0,15001363,30.176667,-103.492778,,"(30.176667, -103.492778)",,,,,,
3980,2002_TX-TXS-02011_CAMDEN,TX-TXS-02011,CAMDEN,WF,175,L,FALSE,8/21/02 13:00,233,,0,,,,0,,,,,Polk,30.943610999999997,-94.747778,80 MILES NE OF HOUSTON,TX,,2002,,0,0,0,0,0,0,,,8/24/02 14:00,,3,FALSE,,,,,,21,,8/21/02 17:10,233,7,8/21/02 17:10,233,8/21/02 17:10,233,175,8/21/02 17:10,233,0,"[nan, nan, nan]",,,0,2002_TX-TXS-02011_CAMDEN,[649767],1,,232,232,['Natural'],175,"[{'ID': 649767, 'COORDS': (30.96056001, -94.74777997), 'CAUSE': 'Natural', 'SIZE': 175.0, 'DISC': 232, 'CONT': 232.0}]","[(30.96056001, -94.74777997)]",,1,1,0,649767,30.96056001,-94.74777997,,"(30.96056001, -94.74777997)",,,,,,
3999,2002_UT-MLF-2126_CARPENTER,UT-MLF-2126,CARPENTER,WF,64,L,FALSE,7/5/02 13:35,186,7/8/02 18:00,0,,,,0,,,,,"Montrose, Co",38.454167,-109.021667,10 miles NW of Paradox  CO,UT,,2002,,0,0,0,0,0,0,,,7/10/02 19:00,,4,FALSE,,,,,3,536,1,7/6/02 19:00,187,262,7/6/02 19:00,187,7/6/02 19:00,187,64,7/6/02 19:00,187,1,"[nan, nan, nan, nan]",,,0,2002_UT-MLF-2126_CARPENTER,[150762],1,,186,191,['Natural'],64,"[{'ID': 150762, 'COORDS': (38.4525, -109.01305559999999), 'CAUSE': 'Natural', 'SIZE': 64.0, 'DISC': 186, 'CONT': 191.0}]","[(38.4525, -109.01305559999999)]",,1,1,0,150762,38.4525,-109.0130556,,"(38.4525, -109.01305559999999)",,,,,,
4001,2002_UT-MLF-2190_CANYONS COMPLEX,UT-MLF-2190,CANYONS COMPLEX,WF,9800,L,TRUE,7/14/02 0:00,195,,0,,,,0,,,,,San Juan,38.366667,-109.1,Hang Dog 8 mi NE of Lasal  UT; Hammond 15 mi NW of Blanding,UT,2841056,2002,,0,0,0,0,0,0,,,12/30/02 13:00,,15,FALSE,,58,3,30,24,3353,4,7/19/02 18:30,200,595,7/21/02 13:51,202,7/18/02 17:00,199,2450,7/18/02 17:00,199,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_UT-MLF-2190_CANYONS COMPLEX,"[150777, 150778]",2,"['UT3767410973620020714-CANYONS COMPLEX (HAMMOND)', 'UT3838510908720020714-CANYONS COMPLEX (HANG DOG)']",195,227,['Natural'],9800,"[{'ID': 150777, 'MTBS_ID': 'UT3767410973620020714(CANYONS COMPLEX (HAMMOND))', 'COORDS': (37.67166667, -109.72), 'CAUSE': 'Natural', 'SIZE': 3800.0, 'DISC': 195, 'CONT': 227.0}, {'ID': 150778, 'MTBS_ID': 'UT3838510908720020714(CANYONS COMPLEX (HANG DOG))', 'COORDS': (38.36972222, -109.10666670000002), 'CAUSE': 'Natural', 'SIZE': 6000.0, 'DISC': 195, 'CONT': 227.0}]","[(37.67166667, -109.72), (38.36972222, -109.10666670000002)]",CANYONS COMPLEX,1,2,2,150778,38.36972222,-109.1066667,UT3838510908720020714(CANYONS COMPLEX (HANG DOG)),"(38.36972222, -109.10666670000002)",8196,4879.977295000001,542.2196994,1697.383407,-109.0712201,38.37291666
4003,2002_UT-MOD-2120_PRICE CANYON,UT-MOD-2120,PRICE CANYON,WF,3200,U,FALSE,6/30/02 16:00,181,,0,,,,0,,,,,Carbon,39.771111,-110.908333,14 MILES NORTH OF PRICE  UT,UT,747000,2002,,0,0,0,0,0,0,,,7/21/02 19:30,,8,FALSE,,13,3,,10,810,2,7/2/02 20:29,183,171,7/3/02 19:00,184,7/1/02 18:00,182,3200,7/1/02 18:00,182,1,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_UT-MOD-2120_PRICE CANYON,[354644],1,['UT3978011088020020630-PRICE CANYON'],181,194,['Railroad operations and maintenance'],3269,"[{'ID': 354644, 'MTBS_ID': 'UT3978011088020020630(PRICE CANYON)', 'COORDS': (39.7694, -110.9057), 'CAUSE': 'Railroad operations and maintenance', 'SIZE': 3269.0, 'DISC': 181, 'CONT': 194.0}]","[(39.7694, -110.9057)]",,1,1,1,354644,39.7694,-110.9057,UT3978011088020020630(PRICE CANYON),"(39.7694, -110.9057)",7574,2864.334499,477.38908319999996,1060.864629,-110.8814413,39.76875
4010,2002_UT-PIA-R297_SCARECROW,UT-PIA-R297,SCARECROW,WF,1037,L,FALSE,6/1/02 11:09,152,6/4/02 18:00,0,,,,0,,,,,Washington,37.186111,-113.828889,15 miles NW of St. George  UT,UT,,2002,,0,0,0,0,0,0,,,6/8/02 20:50,,8,FALSE,,,,,3,410,1,6/2/02 23:00,153,103,6/3/02 20:15,154,6/3/02 20:15,154,600,6/1/02 22:00,152,2,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_UT-PIA-R297_SCARECROW,[352640],1,['UT3717611382020020601-SCARECROW'],152,158,['Natural'],1037,"[{'ID': 352640, 'MTBS_ID': 'UT3717611382020020601(SCARECROW)', 'COORDS': (37.1861, -113.8297), 'CAUSE': 'Natural', 'SIZE': 1037.0, 'DISC': 152, 'CONT': 158.0}]","[(37.1861, -113.8297)]",,1,1,1,352640,37.1861,-113.8297,UT3717611382020020601(SCARECROW),"(37.1861, -113.8297)",,,,,,
4017,2002_UT-SLD-146_CANE,UT-SLD-146,CANE,WF,623,L,FALSE,6/21/02 11:00,172,6/22/02 18:00,0,,,,0,,,,,Tooele,40.2575,-112.74,2 miles NW of the town of Dugway,UT,7000,2002,,0,0,0,0,0,0,,,6/23/02 18:00,,2,FALSE,,,,,,9,,6/22/02 18:00,173,7,6/22/02 18:00,173,6/22/02 18:00,173,623,6/22/02 18:00,173,1,"[nan, nan]",,,0,2002_UT-SLD-146_CANE,[357019],1,,172,175,['Natural'],623,"[{'ID': 357019, 'COORDS': (40.2361, -112.8002), 'CAUSE': 'Natural', 'SIZE': 623.0, 'DISC': 172, 'CONT': 175.0}]","[(40.2361, -112.8002)]",,1,1,0,357019,40.2361,-112.8002,,"(40.2361, -112.8002)",7397,106.0864629,106.0864629,106.0864629,-112.7950373,40.23958333
4050,2002_WV-MOF-003_SENECA ROCKS,WV-MOF-003,SENECA ROCKS,WF,113,U,FALSE,3/10/02 0:00,69,3/11/02,0,,,,0,,,,,,35.833333333333336,-79.35,"Seneca Rocks, WV",WV,5,2002,,0,0,0,0,0,0,,,3/11/02 0:00,,1,,,,,,,,,3/11/02 0:00,70,,3/11/02 0:00,70,3/11/02 0:00,70,0,3/11/02 0:00,70,1,[nan],,,0,2002_WV-MOF-003_SENECA ROCKS,[153617],1,,69,75,['Smoking'],87,"[{'ID': 153617, 'COORDS': (38.83527778, -79.36694444), 'CAUSE': 'Smoking', 'SIZE': 87.0, 'DISC': 69, 'CONT': 75.0}]","[(38.83527778, -79.36694444)]",,1,1,0,153617,38.83527778,-79.36694444,,"(38.83527778, -79.36694444)",,,,,,
4054,2002_WY-BTF-010_COW CAMP,WY-BTF-010,COW CAMP,WF,339,L,FALSE,6/29/02 13:30,180,7/5/02 18:00,0,,,,0,,,,,Sublette,42.7275,-109.400278,30 MILES SE OF PINEDALE,WY,,2002,,0,0,0,0,0,0,,,7/7/02 18:00,,8,FALSE,,,,,10,1156,2,7/4/02 0:00,185,197,7/5/02 18:00,186,7/2/02 19:30,183,314,6/30/02 18:00,181,3,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_WY-BTF-010_COW CAMP,[154672],1,,180,188,['Natural'],340,"[{'ID': 154672, 'COORDS': (42.72722222, -109.40083329999999), 'CAUSE': 'Natural', 'SIZE': 340.0, 'DISC': 180, 'CONT': 188.0}]","[(42.72722222, -109.40083329999999)]",,1,1,0,154672,42.72722222,-109.4008333,,"(42.72722222, -109.40083329999999)",,,,,,
4057,2002_WY-CAD-117_DALEY COMPLEX,WY-CAD-117,DALEY COMPLEX,WF,24000,L,TRUE,6/28/02 14:00,179,7/7/02 18:00,0,,,,0,,,,,Campbell,44.864167,-105.481111,28 MILES NORTH OF GILLETTE  WY,WY,1100000,2002,,0,0,0,0,0,0,,,7/16/02 15:00,,23,TRUE,,74,35,9,,1241,,6/28/02 0:00,179,327,7/3/02 19:00,184,7/4/02 19:18,185,11400,6/30/02 22:30,181,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2002_WY-CAD-117_DALEY COMPLEX,"[358428, 358429, 358431, 358433, 358434]",5,"['WY4485710546920020628-HAIRY', 'WY4470410551220020628-POWNELL', 'WY4484810599520020629-WATT DRAW']",179,182,['Natural'],15556,"[{'ID': 358428, 'MTBS_ID': 'WY4485710546920020628(HAIRY)', 'COORDS': (44.8647, -105.5058), 'CAUSE': 'Natural', 'SIZE': 1370.0, 'DISC': 179, 'CONT': 180.0}, {'ID': 358429, 'MTBS_ID': 'WY4470410551220020628(POWNELL)', 'COORDS': (44.7105, -105.5056), 'CAUSE': 'Natural', 'SIZE': 6949.0, 'DISC': 179, 'CONT': 182.0}, {'ID': 358431, 'COORDS': (44.7172, -105.5422), 'CAUSE': 'Natural', 'SIZE': 391.0, 'DISC': 179, 'CONT': 181.0}, {'ID': 358433, 'MTBS_ID': 'WY4484810599520020629(WATT DRAW)', 'COORDS': (44.8642, -106.0081), 'CAUSE': 'Natural', 'SIZE': 1525.0, 'DISC': 180, 'CONT': 182.0}, {'ID': 358434, 'MTBS_ID': 'WY4485710546920020628(HAIRY)', 'COORDS': (44.8678, -105.4678), 'CAUSE': 'Natural', 'SIZE': 5321.0, 'DISC': 180, 'CONT': 182.0}]","[(44.8647, -105.5058), (44.7105, -105.5056), (44.7172, -105.5422), (44.8642, -106.0081), (44.8678, -105.4678)]",DALEY COMPLEX,1,5,3,358429,44.7105,-105.5056,WY4470410551220020628(POWNELL),"(44.7105, -105.5056)",,,,,,
4058,2002_WY-CAD-177_ELK CREEK,WY-CAD-177,ELK CREEK,WF,450,L,FALSE,7/19/02 3:05,200,,0,,,,0,,,,,Campbell,44.835,-105.440556,20 MILES NORTH OF GILLETTE,WY,,2002,,0,0,0,0,0,0,,,7/22/02 17:30,,4,FALSE,,1,,1,,66,,7/19/02 21:12,200,37,7/20/02 19:50,201,7/20/02 19:50,201,400,7/19/02 21:12,200,1,"[nan, nan, nan, nan]",,,0,2002_WY-CAD-177_ELK CREEK,[1301235],1,,200,203,['Natural'],450,"[{'ID': 1301235, 'COORDS': (44.835, -105.440556), 'CAUSE': 'Natural', 'SIZE': 450.0, 'DISC': 200, 'CONT': 203.0}]","[(44.835, -105.440556)]",,1,1,0,1301235,44.835,-105.440556,,"(44.835, -105.440556)",7569,954.7781663999999,477.38908319999996,636.5187776,-105.9771116,44.83541666
4070,2002_WY-SH1X-245_CABIN CREEK,WY-SH1X-245,CABIN CREEK,WF,2600,L,FALSE,8/6/02 15:20,218,8/10/02 8:00,0,,,,0,,,,,Sheridan,44.917221999999995,-106.143611,13 MILES NORTH OF LEITER,WY,,2002,,0,0,0,0,0,0,,,8/10/02 17:03,,3,FALSE,,,,,,,,8/7/02 18:37,219,,8/7/02 18:37,219,8/7/02 18:37,219,2600,8/7/02 18:37,219,1,"[nan, nan, nan]",,,0,2002_WY-SH1X-245_CABIN CREEK,[358446],1,['WY4494010617520020806-CABIN CRK'],218,222,['Natural'],2622,"[{'ID': 358446, 'MTBS_ID': 'WY4494010617520020806(CABIN CRK)', 'COORDS': (44.9353, -106.1695), 'CAUSE': 'Natural', 'SIZE': 2622.0, 'DISC': 218, 'CONT': 222.0}]","[(44.9353, -106.1695)]",,1,1,1,358446,44.9353,-106.1695,WY4494010617520020806(CABIN CRK),"(44.9353, -106.1695)",8837,901.7349349,225.43373369999998,848.6917034,-106.180975,44.93958333
4099,2003_AR AFCD6 32_BUCKHORN CAMP FIRE,AR AFCD6 32,BUCKHORN CAMP FIRE,WF,424,H,FALSE,3/27/03 12:40,86,3/28/03 23:00,0,,,,0,,,,,Washington,35.833333,-94.238333,13N 32W,AR,,2003,,0,0,0,0,0,0,,,3/31/03 11:28,,1,FALSE,,1,,1,,13,,3/31/03 11:28,90,13,3/31/03 11:28,90,3/31/03 11:28,90,106,3/31/03 11:28,90,4,[nan],,,0,2003_AR AFCD6 32_BUCKHORN CAMP FIRE,[408709],1,,86,86,['Arson/incendiarism'],339,"[{'ID': 408709, 'COORDS': (35.79106246, -94.37978855), 'CAUSE': 'Arson/incendiarism', 'SIZE': 339.0, 'DISC': 86, 'CONT': 86.0}]","[(35.79106246, -94.37978855)]",,1,1,0,408709,35.79106246,-94.37978855,,"(35.79106246, -94.37978855)",,,,,,
4116,2003_AR-ARS-D7_CASH,AR-ARS-D7,CASH,WF,450,H,FALSE,2/2/03 14:00,33,2/4/03 12:00,0,,,,0,,,,,Newton,35.958333,-92.95,8 miles south Western Grove,AR,,2003,,0,0,0,0,0,0,,,2/7/03 8:15,,1,FALSE,,,,,,,,2/7/03 8:15,38,,2/7/03 8:15,38,2/7/03 8:15,38,90,2/7/03 8:15,38,5,[nan],,,0,2003_AR-ARS-D7_CASH,[408689],1,,33,33,['Missing data/not specified/undetermined'],450,"[{'ID': 408689, 'COORDS': (35.94371001, -92.94847998), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 450.0, 'DISC': 33, 'CONT': 33.0}]","[(35.94371001, -92.94847998)]",,1,1,0,408689,35.94371001,-92.94847998,,"(35.94371001, -92.94847998)",11743,106.0864629,106.0864629,106.0864629,-92.84065579,36.35208333
4127,2003_AZ-AZS-03-0306_PICACHO RESERVOIR,AZ-AZS-03-0306,PICACHO RESEVOIR,WF,970,H,FALSE,6/14/03 0:01,165,6/20/03 18:00,0,,,,1,,,,,Pinal,32.856944,-111.4725,8 MILES NORTH OF PICACHO  AZ,AZ,22000,2003,,0,0,0,0,0,0,,,6/23/03 21:45,,10,FALSE,,1,,1,,48,,6/14/03 17:00,165,10,6/14/03 17:00,165,6/19/03 18:45,170,400,6/15/03 19:20,166,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,2003_AZ-AZS-03-0306_PICACHO RESERVOIR,[1634065],1,['AZ3285511147720030614-PICACHO RESERVOIR'],165,,['Missing data/not specified/undetermined'],925,"[{'ID': 1634065, 'MTBS_ID': 'AZ3285511147720030614(PICACHO RESERVOIR)', 'COORDS': (32.8578, -111.4722), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 925.0, 'DISC': 165, 'CONT': 'unknown'}]","[(32.8578, -111.4722)]",,1,1,1,1634065,32.8578,-111.4722,AZ3285511147720030614(PICACHO RESERVOIR),"(32.8578, -111.4722)",14604,530.4323146,58.93692385,212.1729259,-111.4758172,32.85208333
4136,2003_AZ-CNF-209_CAVE,AZ-CNF-209,CAVE,WF,450,L,FALSE,7/28/03 0:00,209,8/29/03 0:00,0,,,,0,,,,,Cochise,31.783333000000002,-109.275,Sage Peak,AZ,1000,2003,,0,0,0,0,0,0,,,12/29/03 12:00,,4,FALSE,,,,,,3,,8/25/03 18:00,237,1,8/25/03 18:00,237,9/17/03 16:00,260,11.363636363636363,9/17/03 16:00,260,51,"[nan, nan, nan, nan]",,,0,2003_AZ-CNF-209_CAVE,[163580],1,,210,283,['Natural'],500,"[{'ID': 163580, 'COORDS': (31.77222222, -109.29305559999999), 'CAUSE': 'Natural', 'SIZE': 500.0, 'DISC': 210, 'CONT': 283.0}]","[(31.77222222, -109.29305559999999)]",,1,1,0,163580,31.77222222,-109.2930556,,"(31.77222222, -109.29305559999999)",,,,,,
